Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S22761100054,12/04/2014,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,"3221 SE 14TH ST
DES MOINES 50315
(41.553941, -93.596756)",77.0,Polk,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,$9.42,$14.13,4,$56.52,3.0,0.79
S21043500025,09/04/2014,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,"555 S 51ST ST
WEST DES MOINES 50265
(41.561219, -93.773583)",77.0,Polk,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,$9.42,$14.13,6,$84.78,4.5,1.19
S27545600130,08/26/2015,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.023145, -93.715664)",85.0,Story,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$6.49,$10.49,3,$31.47,2.25,0.59
S11380600134,04/01/2013,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,"2400 4TH ST SW
MASON CITY 50401
(43.148446, -93.236556)",17.0,Cerro Gordo,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.24,$13.86,3,$41.58,2.25,0.59
S17252600191,02/05/2014,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,"1823 E KIMBERLY RD
DAVENPORT 52807
(41.556781, -90.548919)",82.0,Scott,1062050.0,BARBADOS RUM,420.0,"Moet Hennessy USA, Inc.",42936,10 Cane Rum,6,750,$12.50,$18.75,3,$56.25,2.25,0.59
S21951900035,10/22/2014,2637,Hy-Vee #5 / Davenport,2351 W LOCUST,DAVENPORT,52804,"2351 W LOCUST
DAVENPORT 52804
(41.538207, -90.611972)",82.0,Scott,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$6.49,$10.49,12,$125.88,9.0,2.38
S26355400098,06/23/2015,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,"555 S 51ST ST
WEST DES MOINES 50265
(41.561219, -93.773583)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42507,Mt. Gay Black Barrel,12,750,$14.99,$22.49,4,$89.96,3.0,0.79
S23236500209,12/29/2014,2572,Hy-Vee Food Store / Cedar Falls,6301 UNIVERSITY,CEDAR FALLS,50613,"6301 UNIVERSITY
CEDAR FALLS 50613
(42.512771, -92.433344)",7.0,Black Hawk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42507,Mt. Gay Black Barrel,12,750,$14.99,$22.49,2,$44.98,1.5,0.4
S24712200123,03/25/2015,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.023145, -93.715664)",85.0,Story,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,3,$42.39,2.25,0.59
S14118300044,08/26/2013,2647,Hy-Vee #7 / Cedar Rapids,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,"5050 EDGEWOOD RD
CEDAR RAPIDS 52411
(42.030457, -91.701432)",57.0,Linn,1062050.0,BARBADOS RUM,420.0,"Moet Hennessy USA, Inc.",42936,10 Cane Rum,6,750,$12.49,$18.74,6,$112.44,4.5,1.19
S04654600043,03/20/2012,2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,"2400 2ND AVE
MUSCATINE 52761
(41.45135, -91.035137)",70.0,Muscatine,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.00,$12.50,12,$150.00,9.0,2.38
S09349400052,12/06/2012,2635,Hy-Vee #4 / Davenport,4064 E 53RD ST,DAVENPORT,52807,"4064 E 53RD ST
DAVENPORT 52807
(41.574973, -90.513769)",82.0,Scott,1062050.0,BARBADOS RUM,420.0,"Moet Hennessy USA, Inc.",42936,10 Cane Rum,6,750,$14.98,$22.47,6,$134.82,4.5,1.19
S10804800032,02/26/2013,4117,Tobacco Shop / Arnolds Park,612 S HIGHWAY 71 UNIT 4,ARNOLDS PARK,51331,"612 S HIGHWAY 71 UNIT 4
ARNOLDS PARK 51331
(43.360706, -95.141004)",30.0,Dickinson,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.24,$13.86,2,$27.72,1.5,0.4
S07445400049,08/30/2012,4280,Slagle's Grocery / Le Claire,1301 EAGLE RIDGE RD,LE CLAIRE,52753,"1301 EAGLE RIDGE RD
LE CLAIRE 52753
(41.587349, -90.359813)",82.0,Scott,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.49,$13.11,2,$26.22,1.5,0.4
S28621900052,10/22/2015,2626,Hy-Vee Drugstore / University / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,"4100 UNIVERSITY AVE
DES MOINES 50311
(41.600361, -93.673223)",77.0,Polk,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$6.49,$10.49,12,$125.88,9.0,2.38
S17822500072,03/11/2014,2665,Hy-Vee / Waukee,1005 E HICKMAN RD,WAUKEE,50263,"1005 E HICKMAN RD
WAUKEE 50263
(41.614909, -93.842181)",25.0,Dallas,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,12,$171.00,9.0,2.38
S15759600073,11/18/2013,2569,Hy-Vee Food Store #2 / Cedar Rapids,279 COLLINS ROAD NE,CEDAR RAPIDS,52402,"279 COLLINS ROAD NE
CEDAR RAPIDS 52402
(42.027806, -91.630732)",57.0,Linn,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,12,$169.56,9.0,2.38
S15451900053,10/30/2013,3842,Bancroft Liquor Store,107 N PORTLAND ST PO BX 222,BANCROFT,50517,"107 N PORTLAND ST PO BX 222
BANCROFT 50517
(43.29355, -94.218)",55.0,Kossuth,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,4,$56.52,3.0,0.79
S05419400164,05/08/2012,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,"3140 AGENCY
BURLINGTON 52601
(40.814689, -91.137509)",29.0,Des Moines,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.00,$13.50,4,$54.00,3.0,0.79
S05626900012,05/21/2012,2238,Adventureland Inn,3200 Adventureland Dr,ALTOONA,50009,"3200 Adventureland Dr
ALTOONA 50009
(41.658538, -93.497258)",77.0,Polk,1062050.0,BARBADOS RUM,420.0,"Moet Hennessy USA, Inc.",42936,10 Cane Rum,6,750,$14.98,$22.47,6,$134.82,4.5,1.19
S21721700013,10/13/2014,3747,T-N-T Liquor,110 SOUTH MAIN,SIGOURNEY,52591,"110 SOUTH MAIN
SIGOURNEY 52591
(41.333611, -92.20511)",54.0,Keokuk,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,$9.42,$14.13,3,$42.39,2.25,0.59
S18257200176,04/07/2014,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,"3235 OAKLAND ROAD NE
CEDAR RAPIDS 52402
(42.010972, -91.658105)",57.0,Linn,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,2,$28.50,1.5,0.4
S27543500141,08/26/2015,2501,Hy-vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.022848, -93.619455)",85.0,Story,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42507,Mt. Gay Black Barrel,12,750,$14.99,$22.49,4,$89.96,3.0,0.79
S24378700120,03/05/2015,2561,Hy-Vee Food Store / Fleur / DSM,4605 FLEUR DRIVE,DES MOINES,50321,"4605 FLEUR DRIVE
DES MOINES 50321
(41.542816, -93.644943)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,3,$42.75,2.25,0.59
S21362700061,09/23/2014,2353,Cresco Liquor Store,708 2ND AVE SE,CRESCO,52136,"708 2ND AVE SE
CRESCO 52136
(43.371131, -92.106504)",45.0,Howard,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,4,$56.52,3.0,0.79
S16984300173,01/22/2014,2560,Hy-Vee Food Store / Marion,3600 BUSINESS HWY 151 EAST,MARION,52302,"3600 BUSINESS HWY 151 EAST
MARION 52302
",57.0,Linn,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,$9.42,$14.13,3,$42.39,2.25,0.59
S21935600052,10/22/2014,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 FIRST AVENUE NE,CEDAR RAPIDS,52402,"1556 FIRST AVENUE NE
CEDAR RAPIDS 52402
(41.988968, -91.650752)",57.0,Linn,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.75,$13.50,4,$54.00,3.0,0.79
S20441500067,08/07/2014,3670,Wal-Mart 2827 / Coralville,2801 COMMERCE DR,CORALVILLE,52241,"2801 COMMERCE DR
CORALVILLE 52241
(41.695806, -91.610774)",52.0,Johnson,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,12,$169.56,9.0,2.38
S19271400094,06/02/2014,3629,Wal-Mart 1965 / Council Bluffs,3200 MANAWA DR,COUNCIL BLUFFS,51503,"3200 MANAWA DR
COUNCIL BLUFFS 51503
",78.0,Pottawattamie,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,12,$169.56,9.0,2.38
S21006400003,09/03/2014,3749,Wal-Mart 1526 / Storm Lake,1831 LAKE AVE NW,STORM LAKE,50588,"1831 LAKE AVE NW
STORM LAKE 50588
(42.661398, -95.200717)",11.0,Buena Vista,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,$9.42,$14.13,36,$508.68,27.0,7.13
S26150900041,06/11/2015,3732,North Scott Foods,425 E LECLAIRE RD,ELDRIDGE,52748,"425 E LECLAIRE RD
ELDRIDGE 52748
(41.654695, -90.577312)",82.0,Scott,1062050.0,BARBADOS RUM,154.0,Iowa Distilling Company,46939,Steel Drum,6,750,$12.17,$18.26,6,$109.56,4.5,1.19
S09293400057,12/04/2012,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,"2323 W BROADWAY
COUNCIL BLUFFS 51501
(41.261925, -95.879662)",78.0,Pottawattamie,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$6.49,$10.49,12,$125.88,9.0,2.38
S20506600094,08/07/2014,2622,Hy-Vee Food Store / Iowa City,1125 N DODGE ST,IOWA CITY,52240,"1125 N DODGE ST
IOWA CITY 52240
(41.676203, -91.518536)",52.0,Johnson,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.75,$13.50,3,$40.50,2.25,0.59
S09755100044,12/28/2012,3565,Hartig Drug Store #10,701 MORMON TREK BLVD,IOWA CITY,52246,"701 MORMON TREK BLVD
IOWA CITY 52246
(41.651985, -91.574025)",52.0,Johnson,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.49,$13.11,3,$39.33,2.25,0.59
S23137100196,12/22/2014,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,"410 NORTH ANKENY BLVD
ANKENY 50021
",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.75,$13.50,4,$54.00,3.0,0.79
S24579600066,03/17/2015,4344,Spirits / Grimes,109 EAST 1ST ST STE B,GRIMES,50111,"109 EAST 1ST ST STE B
GRIMES 50111
(41.6884, -93.793812)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,1,$14.25,0.75,0.2
S19252800025,05/29/2014,2666,Hy-Vee #2 / Ankeny,2510 SW STATE ST,ANKENY,50023,"2510 SW STATE ST
ANKENY 50023
(41.704185, -93.621597)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42507,Mt. Gay Black Barrel,12,750,$14.99,$22.49,2,$44.98,1.5,0.4
S15568500004,11/06/2013,2642,Hy-Vee Wine and Spirits / Pella,512 E OSKALOOSA,PELLA,50219,"512 E OSKALOOSA
PELLA 50219
(41.397023, -92.899722)",63.0,Marion,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,$9.42,$14.13,12,$169.56,9.0,2.38
S17755300137,03/06/2014,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,"724 1ST ST E
MT VERNON 52314
(41.91776, -91.410151)",57.0,Linn,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,3,$42.75,2.25,0.59
S20698000028,08/20/2014,3726,Wal-Mart 1285 / Ottumwa,1940 VENTURE DR,OTTUMWA,52501,"1940 VENTURE DR
OTTUMWA 52501
(41.014548, -92.456904)",90.0,Wapello,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,12,$169.56,9.0,2.38
S03393400157,01/03/2012,2624,Hy-Vee #2 / Dubuque,2395 NW ARTERIAL RD,DUBUQUE,52002,"2395 NW ARTERIAL RD
DUBUQUE 52002
(42.516621, -90.741064)",31.0,Dubuque,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.00,$13.50,2,$27.00,1.5,0.4
S06216000032,06/25/2012,3819,Quillins Decorah,915 SHORT ST,DECORAH,52101,"915 SHORT ST
DECORAH 52101
(43.291013, -91.797893)",96.0,Winneshiek,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.25,$12.75,3,$38.25,2.25,0.59
S23671500094,01/26/2015,5054,Cork 'N Bottle / Manchester,900 E MAIN ST,MANCHESTER,52087,"900 E MAIN ST
MANCHESTER 52087
(42.484072, -91.445322)",28.0,Delaware,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,3,$42.39,2.25,0.59
S19040400025,05/20/2014,4559,Osage Payless Foods,"633, CHASE ST",OSAGE,50461,"633, CHASE ST
OSAGE 50461
(43.285134, -92.811539)",66.0,Mitchell,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$6.49,$10.49,1,$10.49,0.75,0.2
S23215300142,12/27/2014,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,"802 SOUTH CENTER
MARSHALLTOWN 50158
(42.034788, -92.899809)",64.0,Marshall,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$6.49,$10.49,3,$31.47,2.25,0.59
S09932300030,01/08/2013,2662,Hy-Vee Wine & Spirits / Muscatine,"522 MULBERRY, SUITE A",MUSCATINE,52761,"522 MULBERRY, SUITE A
MUSCATINE 52761
",70.0,Muscatine,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42433,Shellback Silver Mini,12,500,$4.95,$7.43,1,$7.43,0.5,0.13
S12811500039,06/14/2013,4091,Fareway Stores #705 / Clear Lake,910 HWY 18 W,CLEAR LAKE,50428,"910 HWY 18 W
CLEAR LAKE 50428
(43.105949, -93.613385)",17.0,Cerro Gordo,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$7.99,$11.99,3,$35.97,2.25,0.59
S21925900059,10/22/2014,2543,Hy-Vee Food Store #1 / Ottumwa,1025 NORTH QUINCY AVE,OTTUWMA,52501,"1025 NORTH QUINCY AVE
OTTUWMA 52501
(41.015384, -92.438455)",90.0,Wapello,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.75,$13.50,3,$40.50,2.25,0.59
S25384600019,04/29/2015,2609,Hy-Vee Drugstore #2 / Ames,500 MAIN ST,AMES,50010,"500 MAIN ST
AMES 50010
(42.024995, -93.618248)",85.0,Story,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,$9.42,$14.13,4,$56.52,3.0,0.79
S22920400002,12/12/2014,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586319, -93.664182)",77.0,Polk,1062050.0,BARBADOS RUM,460.0,Shaw Ross International Importers LL,44266,British Navy Pusser's Rum,6,750,$12.02,$18.03,6,$108.18,4.5,1.19
S26106600212,06/09/2015,2629,Hy-Vee Food Store #2 / Council Bluff,1745 MADISON AVE,COUNCIL BLUFFS,51503,"1745 MADISON AVE
COUNCIL BLUFFS 51503
(41.242732, -95.825137)",78.0,Pottawattamie,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,12,$169.56,9.0,2.38
S06747200036,07/24/2012,2607,Hy-Vee Wine and Spirits / Shenandoah,520 SO FREMONT,SHENANDOAH,51601,"520 SO FREMONT
SHENANDOAH 51601
",73.0,Page,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.00,$13.50,4,$54.00,3.0,0.79
S06218100035,06/25/2012,4328,Jr's On The Rocks,313 COLLEGE DR,DECORAH,52101,"313 COLLEGE DR
DECORAH 52101
(43.308556, -91.797663)",96.0,Winneshiek,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.25,$12.75,2,$25.50,1.5,0.4
S28395500152,10/12/2015,2662,Hy-Vee Wine & Spirits / Muscatine,"522 MULBERRY, SUITE A",MUSCATINE,52761,"522 MULBERRY, SUITE A
MUSCATINE 52761
",70.0,Muscatine,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42204,Blue Chair Bay Banana,12,750,$9.42,$14.13,12,$169.56,9.0,2.38
S22663100123,12/01/2014,2666,Hy-Vee #2 / Ankeny,2510 SW STATE ST,ANKENY,50023,"2510 SW STATE ST
ANKENY 50023
(41.704185, -93.621597)",77.0,Polk,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,$9.42,$14.13,3,$42.39,2.25,0.59
S25655000031,05/14/2015,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,"3221 SE 14TH ST
DES MOINES 50315
(41.553941, -93.596756)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42507,Mt. Gay Black Barrel,12,750,$14.99,$22.49,2,$44.98,1.5,0.4
S15689100095,11/18/2013,2647,Hy-Vee #7 / Cedar Rapids,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,"5050 EDGEWOOD RD
CEDAR RAPIDS 52411
(42.030457, -91.701432)",57.0,Linn,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$6.49,$10.49,3,$31.47,2.25,0.59
S16680100127,01/06/2014,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 DEVILS GLEN ROAD,BETTENDORF,52722,"2890 DEVILS GLEN ROAD
BETTENDORF 52722
(41.552406, -90.483701)",82.0,Scott,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$8.00,$12.00,12,$144.00,9.0,2.38
S25208000076,04/22/2015,3869,Bootleggin' Barzini's Fin,412  1ST AVE,CORALVILLE,52241,"412 1ST AVE
CORALVILLE 52241
(41.672672, -91.565517)",52.0,Johnson,1062050.0,BARBADOS RUM,460.0,Shaw Ross International Importers LL,44266,British Navy Pusser's Rum,6,750,$12.02,$18.03,1,$18.03,0.75,0.2
S21457800033,09/29/2014,2487,Anamosa Family Foods,402 EAST MAIN,ANAMOSA,52205,"402 EAST MAIN
ANAMOSA 52205
(42.108289, -91.281881)",53.0,Jones,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,1,$14.25,0.75,0.2
S04753100158,03/27/2012,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,"2411 S 24TH ST #1
COUNCIL BLUFFS 51501
(41.238118, -95.879202)",78.0,Pottawattamie,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.00,$12.50,3,$37.50,2.25,0.59
S26634900020,07/08/2015,3573,Quik Shop Foods / Four M In,405 S MADISON,OTTUMWA,52501,"405 S MADISON
OTTUMWA 52501
(40.999098, -92.410459)",90.0,Wapello,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,2,$28.26,1.5,0.4
S15614700069,11/07/2013,2954,Dahl's / Ingersoll,3425 INGERSOLL,DES MOINES,50300,"3425 INGERSOLL
DES MOINES 50300
(41.58631, -93.662807)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,3,$42.75,2.25,0.59
S19371500034,06/04/2014,4509,A J'S LIQUOR II,2515 CHAMBERLAIN,AMES,50010,"2515 CHAMBERLAIN
AMES 50010
(42.02146, -93.650965)",85.0,Story,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42507,Mt. Gay Black Barrel,12,750,$14.99,$22.49,2,$44.98,1.5,0.4
S12762700058,06/12/2013,2963,Dahl's / Clive,15500 HICKMAN,CLIVE,50325,"15500 HICKMAN
CLIVE 50325
(41.614714, -93.832155)",77.0,Polk,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$7.99,$11.99,2,$23.98,1.5,0.4
S07019600114,08/08/2012,2543,Hy-Vee Food Store #1 / Ottumwa,1025 NORTH QUINCY AVE,OTTUWMA,52501,"1025 NORTH QUINCY AVE
OTTUWMA 52501
(41.015384, -92.438455)",90.0,Wapello,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.49,$13.11,2,$26.22,1.5,0.4
S15583600007,11/07/2013,4481,THE LIQUOR HOUSE,425 GILBERT ST,IOWA CITY,52240,"425 GILBERT ST
IOWA CITY 52240
(41.656297, -91.530221)",52.0,Johnson,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,12,$169.56,9.0,2.38
S17073300052,01/28/2014,3054,Mcnally's Super Valu,1026 MAIN,GRINNELL,50112,"1026 MAIN
GRINNELL 50112
(41.745088, -92.725777)",79.0,Poweshiek,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,3,$42.75,2.25,0.59
S22848700071,12/09/2014,4344,Spirits / Grimes,109 EAST 1ST ST STE B,GRIMES,50111,"109 EAST 1ST ST STE B
GRIMES 50111
(41.6884, -93.793812)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.75,$13.50,1,$13.50,0.75,0.2
S15644800084,11/11/2013,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,"2411 S 24TH ST #1
COUNCIL BLUFFS 51501
(41.238118, -95.879202)",78.0,Pottawattamie,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,3,$42.75,2.25,0.59
S17202400011,02/04/2014,3813,CGI Foods,104 NORTH FILLMORE,MOUNT AYR,50854,"104 NORTH FILLMORE
MOUNT AYR 50854
(40.714825, -94.238806)",80.0,Ringgold,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,3,$42.39,2.25,0.59
S23746500018,01/28/2015,4046,J and K Market,113 W VANBUREN,CENTERVILLE,52544,"113 W VANBUREN
CENTERVILLE 52544
(40.734947, -92.874322)",4.0,Appanoose,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,2,$28.50,1.5,0.4
S20729900036,08/19/2014,2556,Hy-Vee Wine and Spirits / Esthervill,2608 E. CENTRAL AVENUE,ESTHERVILLE,51334,"2608 E. CENTRAL AVENUE
ESTHERVILLE 51334
",32.0,Emmet,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,2,$28.26,1.5,0.4
S29078300048,11/16/2015,2539,Hy-Vee Food Store / iowa Falls,HIGHWAY 65 SOUTH,IOWA FALLS,50126,"HIGHWAY 65 SOUTH
IOWA FALLS 50126
",42.0,Hardin,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,$9.42,$14.13,6,$84.78,4.5,1.19
S23348100152,01/06/2015,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,"20 WILSON AVENUE WEST
CEDAR RAPIDS 52404
(41.955861, -91.658753)",57.0,Linn,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,$9.42,$14.13,3,$42.39,2.25,0.59
S19491900018,06/11/2014,4472,Quick Shop Foods / Centerville,1023 SOUTH MAIN,CENTERVILLE,52544,"1023 SOUTH MAIN
CENTERVILLE 52544
(40.724279, -92.874182)",4.0,Appanoose,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,2,$28.26,1.5,0.4
